Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2016-01-04,99.4929871508,63.8415303127,128.938871378,61.5775356999,23.7549966983,78.0006693103,98.343950225,26.9409480289,168.551278023,121.786901941,119.193204413,31.0210654317,92.144588429,58.5581425282,37.759488834,107.790280071,135.150415516,47.5191255652,51.072774105,59.1823055798,28.3526006806,70.4715748368,102.066351586,110.857838004,88.4841737764,73.9862654471,39.1199409797,56.5698282862,68.4352070771
2016-01-05,96.9997599455,62.8592076092,129.461968579,60.9344992188,23.6470603256,78.6678669318,96.3575896067,26.9672661156,165.649158806,121.19223026,119.105530118,30.8750409989,92.5297469395,58.6593904955,37.8930719313,109.275398745,135.739546874,48.1257912308,51.3057703372,60.0096264966,28.5567039093,70.6963788908,102.53041611,111.06725518,88.6230523583,74.5433615013,39.657232517,57.9136608488,69.0183110878
2016-01-06,95.1015074142,61.121252057,127.406288352,59.9744729232,23.3952087892,75.5601306419,95.8418998308,26.5374040337,161.605222194,119.937844682,118.50934491,30.1905514704,92.0620544624,57.8125893146,37.6882445154,108.542006807,133.005609167,47.4647972966,50.3737854083,59.1534455478,28.0508828643,70.0129745667,101.203191569,109.934498635,86.2158236064,73.5660000027,39.3033023773,58.4935338039,68.4440419863
2016-01-07,91.0877893754,60.570952054,122.065190619,57.9095107023,22.8555269255,72.8825612396,95.0206161137,25.4144990035,156.638316519,116.518482516,116.48406869,29.0588621166,90.9891128973,55.4746817066,37.0648567281,106.03013942,129.7653867,47.048280571,48.6216537419,57.5757637996,27.8645277425,69.40150754,98.7900560405,106.698051364,85.0862778074,72.1195049847,39.0874450488,59.8557750318,67.3485132389
2016-01-08,91.56943554,60.3717055012,119.29369317,57.3208153323,22.2888609687,72.1012377091,94.7818708471,24.958318835,155.991286661,115.124720763,115.405674858,28.7576867241,90.0170461802,54.2320930173,36.9668957901,105.865126234,129.323538182,46.2514659655,48.7707713305,56.6330027549,27.5095656056,68.3134559188,98.3723979681,104.860891589,83.697491989,71.2301060209,38.7075361506,58.4843294713,65.9879372139
2016-01-11,93.0521502038,60.7701986068,119.495590335,55.6724682964,22.7296011574,70.9073051231,95.4217081616,25.0723638772,157.69449761,116.871568827,116.808463582,29.2596457117,89.4759901773,54.1492537714,37.0292345688,106.97438154,129.29592265,46.4053960598,48.7428117827,57.2871634798,27.5716839796,68.9429072699,99.1149012078,104.308791761,83.7900777102,72.2465619795,38.9320277723,59.1102240895,65.1044462885
2016-01-12,94.4026482733,61.1022761948,121.064881937,55.7902073704,22.8015587392,72.1187955412,96.8923790039,25.1250000504,157.67546732,118.460457225,116.519138408,29.8254903886,90.090409706,54.26891046,37.510133719,107.661936481,129.664129748,46.8671863425,49.1901645485,57.6623438955,27.5095656056,68.7990326753,100.219374777,106.859873727,83.7900777102,73.0675456384,38.793879082,58.5579641323,66.4385175858
2016-01-13,91.9755293651,59.6316468765,117.577567267,55.1471708893,22.1269564096,71.3989244232,94.0465354259,24.7740922285,151.2812899,112.801784509,115.0023731,29.122747806,88.9716159373,52.7778040328,37.2696841439,105.535099862,127.694221771,45.8711680856,48.1277017296,56.546422659,26.9505002401,68.2055499729,98.4373670016,103.975628071,82.2438961658,71.4451255506,38.120404217,56.9932275868,66.8360885022
2016-01-14,93.9871104058,60.0491158443,118.568698805,56.3970164441,22.180924596,75.0333956775,94.6481734977,25.4934532635,153.564924693,111.147853896,116.527905837,29.8802495508,90.6864883533,53.5693790497,37.2964007634,106.910209745,129.958695427,46.9034051882,49.4977195751,56.2866823712,27.6071801932,68.4753148376,99.2912457273,105.432029343,82.410550464,72.1292785997,38.7420733232,58.0425215055,69.9018020132
2016-01-15,91.7299842616,59.688574463,115.292458443,54.9207495932,21.2454760323,73.4531907844,89.6727221414,24.9934096172,148.065170899,110.78547584,114.002886134,27.1605444909,88.9532750558,52.501673213,36.9579902502,105.590104257,127.666606239,46.3057942341,47.5219115258,55.3727813585,27.3409585906,67.4232318651,97.546363114,104.013703921,79.2811530865,70.2038764473,38.362164425,57.0024319194,68.5412259881
2016-01-19,91.2861142667,59.4324003237,115.687075629,54.1501895521,21.4523540801,71.5569449126,89.7395708161,24.9934096172,149.216503441,111.277938326,112.319539664,27.1970505991,89.4117970922,52.474060131,37.3320229227,107.716940877,127.390450915,46.4868884626,47.1211580063,56.1039021686,27.2344699496,68.9968602428,98.1589282867,107.164480529,78.9200687737,69.7738373879,38.7420733232,57.5823048745,67.4987066962
2016-01-20,91.4088868185,59.802429636,112.089635232,53.948376208,20.597857796,69.335879146,88.373947891,24.5635475353,146.295353935,108.211662471,106.83989621,27.0053935311,87.8069699649,51.0934060318,36.8511237724,106.14014821,126.074110538,45.7715662599,47.33551454,56.7965429361,27.2078477893,68.783656078,96.2005759921,109.268171256,78.5404673167,69.0799107239,38.3535301318,55.9991596637,64.6538659166
